stid,timestamp,lat,lon,alt,station_type,location_type
CEN1,2021-06-12 18:00:00,77.181783,-61.11583,1888.8,one boom,ice sheet
CEN2,2022-11-28 16:00:00,77.181974,-61.115571,1892.2,two booms,ice sheet
CP1,2023-02-08 12:00:00,69.871876,-47.040293,1947.6,two booms,ice sheet
DY2,2023-02-08 12:00:00,66.482377,-46.29372,2122.5,two booms,ice sheet
EGP,2023-02-08 00:00:00,75.626904,-35.96927,2666.4,one boom,ice sheet
HUM,2023-01-22 06:00:00,78.528908,-56.844491,1969.8,two booms,ice sheet
JAR,2023-01-26 16:00:00,69.492103,-49.72078,907.7,one boom,ice sheet
JAR_O,2023-02-08 12:00:00,69.494661,-49.670817,925.3,one boom,ice sheet
KAN_L,2023-02-08 00:00:00,67.093698,-49.965717,629.7,one boom,ice sheet
KAN_M,2023-02-08 00:00:00,67.087186,-48.934875,,one boom,ice sheet
KAN_U,2023-02-08 00:00:00,67.000595,-47.032157,1823.0,one boom,ice sheet
KPC_L,2023-02-08 00:00:00,79.910796,-24.080722,361.5,one boom,ice sheet
KPC_Lv3,2023-01-08 16:00:00,79.913878,-24.093317,373.4,one boom,ice sheet
KPC_U,2023-02-08 00:00:00,79.835054,-25.162033,865.1,one boom,ice sheet
KPC_Uv3,2056-11-23 23:00:00,79.834922,-25.162375,866.0,one boom,ice sheet
LYN_L,2023-02-08 00:00:00,69.318917,-53.543726,538.4,one boom,local glacier
LYN_T,2023-02-08 00:00:00,69.304264,-53.590202,942.1,one boom,local glacier
MIT,2023-02-08 00:00:00,65.69195,-37.82967,430.8,one boom,local glacier
NAE,2022-09-07 19:00:00,75.00244,-29.980349,2626.2,two booms,ice sheet
NAU,2023-01-11 15:00:00,73.840482,-49.533584,2337.1,two booms,ice sheet
NEM,2022-11-25 19:00:00,77.441415,-51.083777,2449.9,two booms,ice sheet
NSE,2023-01-31 19:00:00,66.477634,-42.493198,2384.1,two booms,ice sheet
NUK_K,2023-02-06 00:00:00,64.162268,-51.358683,699.9,one boom,local glacier
NUK_L,2023-02-08 00:00:00,64.483923,-49.551223,497.5,one boom,ice sheet
NUK_U,2022-08-19 12:00:00,64.509369,-49.281127,1123.0,one boom,ice sheet
NUK_Uv3,2023-02-08 12:00:00,64.509268,-49.283591,1116.1,one boom,ice sheet
QAS_L,2023-02-08 00:00:00,61.03049,-46.84974,252.7,one boom,ice sheet
QAS_M,2022-12-01 00:00:00,61.109911,-46.808667,678.0,one boom,ice sheet
QAS_U,2023-02-08 00:00:00,61.172536,-46.822248,884.1,one boom,ice sheet
QAS_Uv3,2023-02-08 12:00:00,61.172593,-46.822116,886.5,one boom,ice sheet
QAS_Lv3,2023-02-20 00:00:00,61.030471,-46.849731,248.3,one boom,ice sheet
Roof_GEUS,2023-02-08 12:00:00,55.688568,-12.582172,27.0,two booms,not Greenland
Roof_PROMICE,2023-02-08 13:00:00,55.688569,-12.582215,,one boom,not Greenland
SCO_L,2023-02-02 00:00:00,72.233238,-26.861097,,one boom,ice sheet
SCO_U,2023-02-08 00:00:00,72.416015,-27.177577,,one boom,ice sheet
SDL,2022-10-12 15:00:00,66.000158,-44.502738,2469.8,two booms,ice sheet
SDM,2023-02-07 20:00:00,63.149001,-44.817405,2890.1,two booms,ice sheet
SWC,2023-02-08 12:00:00,69.552469,-49.375868,1119.8,one boom,ice sheet
SWC_O,2023-02-08 12:00:00,69.595065,-49.280343,1163.6,one boom,ice sheet
TAS_A,2023-02-08 00:00:00,65.792721,-38.909621,,one boom,ice sheet
TAS_L,2023-02-08 00:00:00,65.6393,-38.899106,234.6,one boom,ice sheet
THU_L,2023-02-08 00:00:00,76.399845,-68.26734,564.6,one boom,ice sheet
THU_L2,2023-02-08 00:00:00,76.393013,-68.265087,571.6,one boom,ice sheet
THU_U,2022-09-27 05:00:00,76.39303,-68.26508,571.8,one boom,ice sheet
THU_U2,2023-02-08 00:00:00,76.390216,-68.110388,747.1,one boom,ice sheet
TUN,2022-11-30 19:00:00,78.019156,-33.962452,2076.6,two booms,ice sheet
UPE_L,2023-02-08 00:00:00,72.893368,-54.29583,200.9,one boom,ice sheet
UPE_U,2023-02-05 00:00:00,72.885425,-53.613874,912.8,one boom,ice sheet
UWN,2023-02-07 00:00:00,61.686178,-7.197961,567.0,one boom,not Greenland
WEG_B,2023-01-26 15:00:00,71.141461,-51.22205,11.5,one boom,tundra
ZAK_L,2023-02-08 00:00:00,74.625,-21.376,659.15,one boom,local glacier
ZAK_U,2022-05-31 09:00:00,74.624099,-21.374481,630.4,one boom,local glacier
ZAK_Uv3,2022-12-25 15:00:00,74.643352,-21.462085,862.9,one boom,local glacier
TAS_U,2015-08-13 00:00:00,65.6978,-38.8668,570.0,one boom,ice sheet
QAS_A,2015-08-24 00:00:00,61.243,-46.7328,1000.0,one boom,ice sheet
NUK_N,2014-07-25 00:00:00,64.9452,-49.885,920.0,one boom,ice sheet
KAN_B,,67.1252,-50.1832,350.0,one boom,tundra
